name,path,entity_name,newspaper,date,headline,text,EPU
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,How RBI plans to compensate for digital frauds,unknown,09/03/2026,"How RBI plans to
compensate for
digital frauds","What has the RBI proposed in its new framework on
digital payment fraud compensation?
The RBI has proposed a framework to compensate victims of small-value
digital payment frauds, even in cases where the customer may have been
partly negligent. The draft guidelines allow partial reimbursement for
transactions of up to ₹50,000, with victims potentially receiving up to 85%
of the loss or up to ₹25,000, whichever is lower. The benefit may be
available only once in a lifetime for each customer. The idea is to create a
structured compensation mechanism where the financial burden is shared
among the issuing bank, receiving bank and, potentially, the regulator,
ensuring quicker relief for customers who fall prey to cyber fraud.

The Reserve Bank of India (RBI) has proposed a framework to partly
compensate victims of small-value digital payment fraud even if they
were partly responsible. The benefit may be capped and limited to a
one-time claim. How could the mechanism work and why does the
RBI believe that a shared liability framework is needed? Mint explains:",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,"BUFFETT, ABEL & THE BERKSHIRE PARADOX",unknown,09/03/2026,"BUFFETT, ABEL & THE
BERKSHIRE PARADOX","When Berkshire Hathaway published its latest financial results, it attracted more than the usual attention for two reasons. First, the fourth-quarter and full-year earnings reports present the final report card for Warren Buffett’s era as the conglomerate’s chief executive officer (CEO). Second, it featured the highly anticipated debut shareholder letter from the company’s new CEO, Greg Abel, who is inheriting a formidable legacy. Abel finds himself in a tough spot—he cannot deviate from the path set by Buffett, which has greatly benefited investors. Yet, with Berkshire sitting on a cash pile of nearly $373 billion, the new chief executive is under pressure to show more aggression.

IN HIS inaugural CEO letter, Abel said Berkshire’s values and financial conservatism “remain unchanged and will continue into perpetuity.” He assured to uphold Buffett and Munger’s legacy, promising subsidiaries autonomy while sticking to Buffett’s playbook: a strong balance sheet, limited debt, and patient capital allocation.
These principles guided Berkshire into building its current portfolio (see chart). Abel said he expects the core holdings to compound over decades and intends to hold “preferably forever”. Buybacks will only occur when shares trade below a conservative estimate of intrinsic value, and the long-standing resistance to paying a cash dividend will remain firmly in place.
Framing his tenure as a long-term commitment, Abel acknowledged he cannot realistically match Buffett’s 60-year run, but set a clear benchmark. Twenty years from now, shareholders and their descendants will find Berkshire stronger than they left it.

AFTER BUFFETT announced he would step down, Berkshire’s shares fell sharply from their record high of over $809,000. The stock lost up to 14% over the following months through early August, even as the S&P 500 gained about 11% over the same period, creating the widest three-month underperformance gap relative to the index in decades. Analysts attributed the sell-off to the unwinding of the “Buffett premium”, as long-term holders, including families and early investors who had held shares for generations, chose to exit ahead of the leadership change.
On the Monday following the Q4 2025 earnings release, Berkshire shares fell nearly 5%, pushing the stock into negative territory for the year. The immediate trigger was the 30% drop in operating earnings, but the sell-off was compounded by investor frustration over Abel’s decision to maintain the pause on share buybacks while reaffirming the company’s long-standing refusal to pay a dividend.

YEAR 2025 marked a key transition at Berkshire Hathaway. Buffett stepped down as CEO after 60 years, announcing the decision at the company’s annual shareholder meeting in May, citing the effects of ageing.
He took control of Berkshire in 1965 when it was a struggling textile manufacturer. With his partner Charlie Munger, who died in 2023, he built it into a sprawling conglomerate with holdings in insurance, railroads, energy, utilities, consumer goods, and manufacturing, valued at $1.05 trillion in early 2026.
Between 1965 and 2025, Berkshire’s shares delivered a compound annual growth rate (CAGR) of approximately 19.8%, compared with roughly 10% for the S&P 500, including dividends. This translates to a total return more than 60,000 times the initial investment, compared with 400-460 times for the index. By the end of 2025, his own net worth exceeded $150 billion. This track record made Buffett one of the most revered investors in history.

BUFFETT’s FINALE did not reflect his lifetime of achievement. In Q4 2025, Berkshire’s operating earnings fell nearly 30% year-on-year to $10.2 billion, primarily driven by insurance. Underwriting profits plummeted 54% to $1.56 billion, while insurance investment income dropped roughly 25% to $3.1 billion. Geico saw underwriting profit fall by nearly half, due to rising accident claims and higher advertising expenses.
Abel flagged challenges, noting that after years of rate increases, the industry is experiencing deceleration amid increased competition from new capital. Given Berkshire’s strict underwriting discipline, he cautioned that this “likely means we will write less property and casualty business for a period of time”.
Still, Berkshire’s diversification offered some cushion. BNSF railroad posted a 6% increase in Q4 profit, and the manufacturing, service, and retail segment recorded a 3% gain. However, overall net income fell about 3% to $19.2 billion in the quarter.

BERKSHIRE HATHAWAY’s shares fell nearly 5% after its earnings report, partly due to investor frustration over its near-record cash pile and concerns that CEO Greg Abel may not deploy it aggressively.
Berkshire ended 2025 with $373.3 billion in cash and short-term US Treasury bills. Abel described the reserve as dry powder supporting a “fortress-like balance sheet”. He said a portion of it was earmarked to back Berkshire’s insurance operations, and the rest for deployment.
Berkshire’s biggest deal in three years was a $9.7 billion all-cash acquisition of OxyChem, Occidental Petroleum’s petrochemicals unit. Abel also cited the purchase of Bell Laboratories, a family-owned rodent-control firm, as the type of business Berkshire seeks: durable economics, strong managers and no financing contingencies.
He promised that Berkshire will evaluate deals and move quickly when they meet its criteria.",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,"Sembcorp, Hexa circle Enel’s India green unit",unknown,09/03/2026,"Sembcorp, Hexa circle
Enel’s India green unit","The Indian renewable energy business of Sembcorp Industries Ltd as well as Hexa Climate Solutions are vying for the entire India renewable business of Italy’s Enel Group in a deal having an equity and enterprise value of around $100 million and $300 million, respectively, according to two people aware of the development.
Singapore’s Sembcorp is present in India through Sembcorp India Pvt. Ltd and Sembcorp Green Infra Ltd (SGIL) along with other subsidiaries, while Hexa is backed by I Squared Capital.
The HSBC-run sale process follows a deal signed last year—which later fell through—under which Waaree Energies Ltd had agreed to buy 100% of Enel Green Power India Pvt Ltd (EGP India) from its parent Enel Green Power Development S.R.L. for ₹792 crore. Mint first reported on 15 November 2023 that Enel Group planned to exit its India renewable business.
“Enel Group’s entire India renewable business is back on offer again and Sembcorp and Hexa are in talks for it,” one of the two people cited above said, requesting anonymity.
Enel Green Power India’s portfolio comprises 760 megawatts (MW) of operational wind and solar assets, and a development pipeline of 2.5 gigawatts (GW). The company has been present in India’s renewable sector since 2015. In 2020, it partnered with Norway’s state-owned investment fund Norfund to jointly finance, build and operate new renewable projects in the country.
Enel Group had earlier also explored opportunities in India’s power distribution sector, including the proposed privatization of Puducherry’s electricity utility. It had also submitted non-binding offers earlier to acquire Reliance Infrastructure Ltd’s Delhi electricity distribution businesses.
The development comes as both Sembcorp and Hexa are ramping up their India portfolios.
Last year, Sembcorp acquired 300MW of solar projects from Nasdaq-listed ReNew Energy Global Plc. The Singapore Exchange-listed company currently has a renewable portfolio of",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,Parts firms take safe lane on green trip,unknown,09/03/2026,Parts firms take safe lane on green trip,"Auto component makers are pitching powertrain-agnostic portfolios as the best way to address uncertainty about which technologies will dominate roads amid the shift away from combustion engines.
Strategies put in place by companies like Greaves Cotton, Tenneco Clean Air and Belrise Industries suggest that suppliers need to either make parts that can be used across multiple powertrains or build capabilities simultaneously in electric, combustion, hybrid and CNG technologies.
The approach helps them stay relevant regardless of which technology leaps ahead, according to industry executives and experts. Their comments come as global carmakers such as Ford, Volkswagen and Stellantis slow their EV-only plans, while in India, automakers spar over policy priorities for EVs and transitional technologies like hybrids and CNG.
“You have to hedge your bets, or rather, you have to make sure you have activities in all [powertrains]. Even the OEMs are doing that,” said Parag Satpute, managing director and chief executive at Greaves Cotton, known for engine manufacturing and engineering.
“As an auto component company, in some ways, it's easier for us to do that. We are dealing in components; so, there's not a huge difference in the components when it comes between, let's say a CNG or a diesel or a petrol. The components are fairly similar. Their capabilities are fairly similar,” Satpute added.
India's premier energy efficiency agency, the Bureau of Energy Efficiency, has drawn up a clean fuel mix scenario for FY32 comprising multiple technologies, including hybrids, flex fuel vehicles, electric, CNG and traditional ICE engines.
Arvind Chandra, chief executive at Tenneco Clean Air India, said the company will be prepared, no matter the course of technology evolution.
“What we're seeing at a high level is no matter how the pendulum swings, whether it swings to go back to full internal combustion engine, diesel, petrol vehicles, we are fine",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,Bulls not buying the dip as caution rules,unknown,09/03/2026,"Bulls not buying the
dip as caution rules","When stock markets tank, intrepid investors troop in to buy the dip. This time, though, the signs are missing.
With the Iran attack widening into a regional conflict, investor sentiment remains significantly subdued, raising the possibility of further market declines. The flare-up threatens to block crude oil supplies from the region, and fuel a spike in energy prices.
The lack of interest among bulls is reflected by a sharp fall in the cumulative value of marketwide call options (index and stocks) relative to marketwide put options since the war began last Saturday. This, in turn, indicates investors are not buying the dip, a diversion from past occasions, and raises the chances of the Nifty falling as much as 2.7% to 23,800 unless the tensions abate, per analysts.",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,New MF fee rules to hit small agents,unknown,09/03/2026,"New MF fee rules
to hit small agents","A regulatory overhaul of how commissions are paid will shake up the segment estimated to account for about half of India’s ₹81 trillion in mutual fund assets: small distributors. Industry experts say they will be forced to partner with larger peers to survive, driving consolidation.
The Securities and Exchange Board of India (Sebi) in December approved a revised framework for total expense ratio (TER) limits. It has two components: the base expense ratio (BER) and all statutory and regulatory levies, such as goods and services tax (GST), securities transaction tax, stamp duty, and regulatory fees, which will be charged separately over and above the base cost.
For equity-oriented schemes, BER will now range from 2.10% for assets up to ₹500 crore to 0.95% for assets more than ₹50,000 crore.",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,A bitter harvest for wheat as war pops export dreams,unknown,09/03/2026,"A bitter harvest for wheat
as war pops export dreams","The conflict in West Asia may stall India’s return to the global wheat market, just as the rabi harvest is set to hit markets later this month. The development marks a setback for farmers and traders in the world’s second-largest producer, which has reopened exports after nearly four years of restrictions.
Uncertainty in shipping logistics is affecting forward deals with importing countries as well as procurement plans with farmers. Exporters are wary of committing to large shipments, given that freight rates remain volatile and vessel schedules uncertain. The development assumes significance given that India's wheat production this financial year is expected to reach a record 120 million tonnes.
“With the crisis in West Asia intensifying, there is lacklustre sentiment among both importers and exporters due to higher freight costs and logistical uncertainties. Things are likely to be clear in due course of time,” said Vikas Jain, proprietor, Osho Marketing House, a Delhi-based export firm.
“Though global wheat prices have increased, it could have been a good opportunity for Indian farmers and traders to earn better returns through exports. However, disruptions in global supply chains and the rise in freight charges have reduced that opportunity,” another exporter said, who wishes not to be quoted.
The FAO Cereal Price Index averaged 108.6 points in February, up 1.1 points (1.1%) from January, but still 4 points (3.5%) lower than its level a year earlier.
World wheat prices rose 1.8% in February, supported by reports of frost and increased winterkill risks in parts of Europe and the US.
“Logistical disruptions in the Russian Federation and continuing tensions in the Black Sea region also contributed to the increase,” the FAO said in its report released on 6 March.
“India had the opportunity to tap export markets during the Russia-Ukraine war, but the ban on wheat exports prevented exporters from taking advantage of it,” said Bhagwan Meena, a farmer from the Malwa region in Madhya Pradesh.
Echoing the views of farmers and exporters, industry representatives said that traders and processors may remain cautious this season, as escalating tensions in West Asia may disrupt wheat exports to several markets in the region.
“Sentiment among the wheat trade and industry is likely to remain subdued this year, as many incurred losses last season after buying wheat at prices close to minimum support price (MSP) levels, and were unable to recover their carrying costs. As a result, the trade and industry are expected to be more cautious in procurement this season, with many likely to limit purchases and avoid building large inventories to prevent a repeat of last year’s losses,” said Navneet Chitlangia, president of the Roller Flour Millers’ Federation of India.
In response, Indian exporters are likely to redirect supplies to nearby markets where demand remains steady and transportation costs are lower, Chitlangia said.
“Countries such as Bangladesh, Nepal and Sri Lanka are expected to see higher wheat shipments from India as exporters look for stable and accessible markets,” Chitlangia added.
Queries sent to the ministry of consumer affairs and food distribution remained unanswered till press time.",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,India weighs tighter rules on nicotine lozenge sales,unknown,09/03/2026,India weighs tighter rules on nicotine lozenge sales,"India plans to tighten rules governing the sale of nicotine lozenges, moving them from general store counters to regulated pharmacy shelves to curb easy access among minors and non-smokers.
The move would remove 2 mg nicotine lozenges from the exemption under Schedule K of the Drugs Rules, 1945, which currently allows certain nicotine replacement therapy (NRT) products to be sold without a drug sale licence. Thus, retailers would need a formal licence to sell nicotine lozenges, according to two officials and documents seen.
The proposal follows recommendations by the Drugs Technical Advisory Board (DTAB) at a meeting held in February. The board also called for a strict ban on sales to minors and closer monitoring of online platforms to prevent easy access.
In India, NRT products including nicotine gums and lozenges are regulated as drugs under the Drugs and Cosmetics Act as they are used to reduce tobacco dependence.
According to the meeting minutes, the board was also informed about recommendations from the Indian Council of Medical Research and the Tobacco Control Division. After deliberation, DTAB recommended amending entry 33 of Schedule K so that the exemption applies only to unflavoured 2 mg nicotine gums, and not to any other NRT products.
The board also recommended that sales to minors be prohibited, online access closely monitored, and post-marketing surveillance be conducted to track adverse effects.
“Further, DTAB recommended that nicotine lozenges 2 mg shall be excluded from Schedule K exemptions,” the document added.
“Under the new plan only unflavoured 2 mg nicotine gums will continue to be exempt from a sale license. All 2 mg nicotine lozenges will now require a formal drug sale license. This move effectively pulls lozenges, which often come in attractive flavours, off general store shelves and places them behind the pharmacy counter,” said one of the officials cited.
Queries sent to the health ministry remained unanswered till press time.",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,Global Indian talent in focus as Centre eyes chip autonomy,unknown,09/03/2026,"Global Indian talent in focus 
as Centre eyes chip autonomy","India is working towards becoming independent in designing and producing sophisticated microchips under its semiconductor mission, while also attracting Indian professionals with chip-design experience at multinational companies (MNCs), Niti Aayog member Vijay Kumar Saraswat said.
Saraswat said that it is a fact that Indian designers contribute to virtually every chip produced globally. However, their work is primarily for MNCs, and they are often limited to designing subsystems or specific components rather than complete system designs.
“As a result, while India has a large number of designers in this sector, there are very few who can do ab initio design of a complete system. There is an effort being made today that we will build this capability using those designers who have worked for MNCs so that India becomes a fully independent chip designer. That effort is being made under the semiconductor mission,” he said.
Saraswat also said that specific features and the incentive structure under the second phase of the India Semiconductor Mission announced in Union budget 2026 are being worked out.
In the budget for 2026-27, the Centre announced a second tranche of sops under the mission, five years after rolling out the first ₹76,000-crore programme.
India will also strive to explore and produce select critical minerals found domestically, to guard against the risk of supply denial by other countries, Saraswat said.
India’s push to build domestic capabilities in semiconductors and critical minerals, which are vital for IT, clean energy and defence sectors, comes at a time tech is increasingly shaping industrial and military power in a de-globalising world.
Export curbs on certain classes of advanced semiconductors had been a pain point in US-China relations in the past.",0
Mumbai_Mint_09-03-2026.pdf,/Users/kalyan/Library/CloudStorage/OneDrive-Personal/Kalyan/KK-Python/Kalyan-Jupyter-Notebooks/EPU/data/pdfs/Mumbai_Mint_09-03-2026.pdf,"WTO meet to focus on reforms, farm issues",unknown,09/03/2026,"WTO meet
to focus on
reforms,
farm issues","WTO reforms, agriculture-related matters, dispute settlement and the e-commerce moratorium are expected to be discussed by trade ministers of 166 countries during the four-day ministerial meeting of the World Trade Organisation in Yaounde, Cameroon.
Fisheries subsidies, China-led Investment Facilitation for Development (IFD) agreement, e-commerce work programme and moratorium, development and S&DT (special and differential treatment), and level playing field issues are also among the topics that may figure during the 14th ministerial conference of the World Trade Organisation.
The 14th WTO Ministerial Conference (MC14) will take place from 26 to 29 March, in Yaounde, Cameroon.
The ministerial conference is the highest decision-making body of the Geneva-based World Trade Organization (WTO). It meets every two years. The Indian team will be led by commerce and industry minister Piyush Goyal.
The meeting is important as global trade has been disrupted first by sweeping tariffs imposed by the US and now by the West Asia crisis.",0
